row_index,url,saved_path,status,message
149,https://ico.org.uk/media2/migrated/4031177/psni-penalty-notice.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/psni-penalty-notice.pdf,OK,OK
150,https://ico.org.uk/media2/xdkdjeoz/quick-tax-claims-en-20240926.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/quick-tax-claims-en-20240926.pdf,OK,OK
151,https://ico.org.uk/media2/migrated/4031368/monetary-penalty-notice-quick-tax-claims-limited.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/monetary-penalty-notice-quick-tax-claims-limited.pdf,OK,OK
152,https://ico.org.uk/media2/migrated/4031279/service-box-repair-en.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/service-box-repair-en.pdf,OK,OK
153,https://ico.org.uk/media2/migrated/4031276/service-box-repair-mpn.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/service-box-repair-mpn.pdf,OK,OK
154,https://ico.org.uk/media2/izplf0pu/southend-on-sea-city-council-reprimand.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/southend-on-sea-city-council-reprimand.pdf,OK,OK
155,https://ico.org.uk/media2/migrated/4031278/werepairuk-ltd-en.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/werepairuk-ltd-en.pdf,OK,OK
156,https://ico.org.uk/media2/migrated/4031277/werepairuk-ltd-mpn.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/werepairuk-ltd-mpn.pdf,OK,OK
157,https://ico.org.uk/media2/4ducii5l/breathe-services-en-202412.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/breathe-services-en-202412.pdf,OK,OK
158,https://ico.org.uk/media2/omsatkna/breathe-services-mpn-202412.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/breathe-services-mpn-202412.pdf,OK,OK
159,https://ico.org.uk/media2/gmoa141e/money-bubble-ltd-en-202412.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/money-bubble-ltd-en-202412.pdf,OK,OK
160,https://ico.org.uk/media2/y50iczr3/bubble-limited-mpn-20241205.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/bubble-limited-mpn-20241205.pdf,OK,OK
161,https://ico.org.uk/media2/qiqj4s2h/20241213-united-lincs-hospital-nhs-trust-reprimand.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/20241213-united-lincs-hospital-nhs-trust-reprimand.pdf,OK,OK
162,https://ico.org.uk/media2/mdhikxq5/esl-consultancy-en-202501.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/esl-consultancy-en-202501.pdf,OK,OK
163,https://ico.org.uk/media2/jdlpruzt/esl-consultancy-mpn-202501.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/esl-consultancy-mpn-202501.pdf,OK,OK
164,https://ico.org.uk/media2/10kcnrji/cec-reprimand.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/cec-reprimand.pdf,OK,OK
165,https://ico.org.uk/media2/u4teroz1/glasgow-city-council-reprimand.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/glasgow-city-council-reprimand.pdf,OK,OK
166,https://ico.org.uk/media2/0u3jr2dx/smart-home-ensured-limited.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/smart-home-ensured-limited.pdf,OK,OK
167,https://ico.org.uk/media2/gdlfddgc/advanced-penalty-notice-20250327.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/advanced-penalty-notice-20250327.pdf,OK,OK
168,https://ico.org.uk/media2/rfzeiigg/afk-letter-co-ltd-enforcement-notice.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/afk-letter-co-ltd-enforcement-notice.pdf,OK,OK
169,https://ico.org.uk/media2/sqmnjxcs/afk-letters-co-ltd-monetary-penalty-notice.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/afk-letters-co-ltd-monetary-penalty-notice.pdf,OK,OK
170,https://ico.org.uk/media2/pr4bg5hq/dpp-law-ltd-monetary-penalty-notice.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/dpp-law-ltd-monetary-penalty-notice.pdf,OK,OK
171,https://ico.org.uk/media2/ia3brj24/darian-bishop-trading-as-eco4u-enforcement-notice.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/darian-bishop-trading-as-eco4u-enforcement-notice.pdf,OK,OK
172,https://ico.org.uk/media2/0nqjdz1r/darian-bishop-monetary-penalty-notice.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/darian-bishop-monetary-penalty-notice.pdf,OK,OK
173,https://ico.org.uk/media2/pzelb0nv/gmp-reprimand.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/gmp-reprimand.pdf,OK,OK
174,https://ico.org.uk/media2/fjojafbq/london-borough-of-hammersmith-and-fulham-reprimand.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/london-borough-of-hammersmith-and-fulham-reprimand.pdf,OK,OK
175,https://ico.org.uk/media2/kclbljpo/23andme-penalty-notice.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/23andme-penalty-notice.pdf,OK,OK
176,https://ico.org.uk/media2/bvljtpy2/birthlink-mpn.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/birthlink-mpn.pdf,OK,OK
177,https://ico.org.uk/media2/qblbghsj/gmp-rerimand.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/gmp-rerimand.pdf,OK,OK
178,https://ico.org.uk/media2/fpziwrn0/reprimand-south-yorkshire-police.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/reprimand-south-yorkshire-police.pdf,OK,OK
179,https://ico.org.uk/media2/35jfcqk0/mpn-bharat-singh-chand.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/mpn-bharat-singh-chand.pdf,OK,OK
180,https://ico.org.uk/media2/11rbscjs/en-bharat-singh-chand.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/en-bharat-singh-chand.pdf,OK,OK
181,https://ico.org.uk/media2/tacptiie/bristol-city-council-enforcement-notice.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/bristol-city-council-enforcement-notice.pdf,OK,OK
182,https://ico.org.uk/media2/cgbl0i41/green-spark-energy-ltd-enforcement-notice.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/green-spark-energy-ltd-enforcement-notice.pdf,OK,OK
183,https://ico.org.uk/media2/xackijnf/green-spark-energy-ltd-monetary-penalty-notice.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/green-spark-energy-ltd-monetary-penalty-notice.pdf,OK,OK
184,https://ico.org.uk/media2/zcye1jqq/home-improvement-marketing-ltd-enforcement-notice.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/home-improvement-marketing-ltd-enforcement-notice.pdf,OK,OK
185,https://ico.org.uk/media2/m5xnbu1m/home-improvement-marketing-ltd-monetary-penalty-notice.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/home-improvement-marketing-ltd-monetary-penalty-notice.pdf,OK,OK
186,https://ico.org.uk/media2/pv5nhks4/capita-plc-and-cpsl-monetary-penalty-notice.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/capita-plc-and-cpsl-monetary-penalty-notice.pdf,OK,OK
187,https://ico.org.uk/media2/a35krto1/south-wales-police-enforcement-notice.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/south-wales-police-enforcement-notice.pdf,OK,OK
188,https://ico.org.uk/media2/xfbl1uaa/lastpass-uk-ltd-penalty-notice.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/lastpass-uk-ltd-penalty-notice.pdf,OK,OK
189,https://ico.org.uk/media2/3gfdtyrg/monetary-penalty-notice-lead-pronto-ltd-20251106_redacted.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/monetary-penalty-notice-lead-pronto-ltd-20251106_redacted.pdf,OK,OK
190,https://ico.org.uk/media2/zkrmvoay/enforcement-notice-lead-pronto-ltd-20251106_redacted.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/enforcement-notice-lead-pronto-ltd-20251106_redacted.pdf,OK,OK
191,https://ico.org.uk/media2/sroaikut/post-office-limited-reprimand-20251202.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/post-office-limited-reprimand-20251202.pdf,OK,OK
192,https://ico.org.uk/media2/ydzp0vgm/20251216-staines-health-group-reprimand.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/20251216-staines-health-group-reprimand.pdf,OK,OK
193,https://ico.org.uk/media2/ltodxokk/monetary-penalty-notice-zmluk-ltd.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/monetary-penalty-notice-zmluk-ltd.pdf,OK,OK
194,https://ico.org.uk/media2/0lxb0nwm/enforcement-notice-allay-claims-ltd.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/enforcement-notice-allay-claims-ltd.pdf,OK,OK
195,https://ico.org.uk/media2/mrwhxwoe/monetary-penalty-notice-allay-claims-ltd.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/monetary-penalty-notice-allay-claims-ltd.pdf,OK,OK
