row_index,url,saved_path,status,message
122,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_eatigo-international-pte-ltd_211222.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_eatigo-international-pte-ltd_211222.pdf,OK,OK
123,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_sembcorp-marine-ltd_070223.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_sembcorp-marine-ltd_070223.pdf,OK,OK
124,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_taishinfatt_140223.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_taishinfatt_140223.pdf,OK,OK
125,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_orangetee_210223.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_orangetee_210223.pdf,OK,OK
126,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_fortytwo070323.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_fortytwo070323.pdf,OK,OK
127,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_kingsforcemanagementservicespteltd_100323.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_kingsforcemanagementservicespteltd_100323.pdf,OK,OK
128,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_lawsocietyofsingapore_140323.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_lawsocietyofsingapore_140323.pdf,OK,OK
129,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_fullerton-healthcare-group-and-agape-cp-holdings_230323.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_fullerton-healthcare-group-and-agape-cp-holdings_230323.pdf,OK,OK
130,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_leon-wee_11072023-(004).pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_leon-wee_11072023-(004).pdf,OK,OK
131,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---ecommerce-enablers.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/decision---ecommerce-enablers.pdf,OK,OK
132,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_autobahn-rent-a-car-pte-ltd_090623.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_autobahn-rent-a-car-pte-ltd_090623.pdf,OK,OK
133,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_century_evergreen_260723.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_century_evergreen_260723.pdf,OK,OK
134,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_ascentis_12092023.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_ascentis_12092023.pdf,OK,OK
135,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_tokyo_century_leasing_040923.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_tokyo_century_leasing_040923.pdf,OK,OK
136,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_tipros_080623.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_tipros_080623.pdf,OK,OK
137,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_koh-wei-ming_171023.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_koh-wei-ming_171023.pdf,OK,OK
138,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_kenny-lin_20102023.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_kenny-lin_20102023.pdf,OK,OK
139,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_carousell_28122023.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_carousell_28122023.pdf,OK,OK
140,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_leecheemeng_29122023.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_leecheemeng_29122023.pdf,OK,OK
141,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_whiz-communications-pte-ltd_20122023.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_whiz-communications-pte-ltd_20122023.pdf,OK,OK
142,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_payroll2u-pte-ltd_070324.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_payroll2u-pte-ltd_070324.pdf,OK,OK
143,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_pplingo-pte-ltd-(revised)_241023.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_pplingo-pte-ltd-(revised)_241023.pdf,OK,OK
144,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_cortina-watch-pte-ltd_280324.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_cortina-watch-pte-ltd_280324.pdf,OK,OK
145,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_horizon-fast-ferry-pte-ltd_21022024.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_horizon-fast-ferry-pte-ltd_21022024.pdf,OK,OK
146,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_ch-offshore-ltd_17042024.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_ch-offshore-ltd_17042024.pdf,OK,OK
147,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_tok-leng-leng-(trading-as-top-mobile-gallery-(br))_01032024.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_tok-leng-leng-(trading-as-top-mobile-gallery-(br))_01032024.pdf,OK,OK
148,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_academy-of-medicine-singapore_10062024.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_academy-of-medicine-singapore_10062024.pdf,OK,OK
149,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_keppel-telecommunications--transportation-ltd_14052024.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_keppel-telecommunications--transportation-ltd_14052024.pdf,OK,OK
150,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_consumers-association-of-singapore_09072024.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_consumers-association-of-singapore_09072024.pdf,OK,OK
151,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_hmi-institute-of-health-science_081024.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_hmi-institute-of-health-science_081024.pdf,OK,OK
152,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_ezynetic-pte-ltd_03032025.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_ezynetic-pte-ltd_03032025.pdf,OK,OK
153,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_institute-of-mental-health_21052025.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_institute-of-mental-health_21052025.pdf,OK,OK
154,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_mcst-4599_19052025.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_mcst-4599_19052025.pdf,OK,OK
155,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_mbs_28102025-(final)-v3.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_mbs_28102025-(final)-v3.pdf,OK,OK
156,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_for-air-sino-euro-associates-travel-pte-ltd_31102025.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_for-air-sino-euro-associates-travel-pte-ltd_31102025.pdf,OK,OK
157,"https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_goldheart-jewelry-pte,-d-,-ltd_20062025.pdf",/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_goldheart-jewelry-pte_-d-_-ltd_20062025.pdf,OK,OK
158,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_people_central-pte-ltd_20032025.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_people_central-pte-ltd_20032025.pdf,OK,OK
159,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/gd_singapore-data-hub-pte-ltd_07042025.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/gd_singapore-data-hub-pte-ltd_07042025.pdf,OK,OK
